,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
4601,Nieve negra,"Crime, Drama, Mystery",6.2,"Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance.",Martín Hodara,5905,N/A,winter
4602,The Disappearance,"Drama, Thriller",5.7,"Thriller about a contract killer whose wife has disappeared. When he is hired by an international organization to carry out a ""shy"" or hit, he suspects they are connected with her disappearance.",Stuart Cooper,649,N/A,winter
4603,Stone Fox,"Drama, Family, Western",6.1,Little Willy must win a dog sled race in order to save his grandfather's cattle ranch.,Harvey Hart,205,N/A,winter
4604,The Sea Gypsies,"Adventure, Family",6.2,A man and a woman and 3 children start to sail around the world. They are shipwrecked near an uninhabited isle. This island is full of wild animals and it is very dangerous for them in the ...                See full summary »,Stewart Raffill,372,N/A,winter
4605,Non Non Biyori,"Animation, Adventure, Comedy",7.8,The lives of a group of children who live in the countryside village of Asahigaoka.,Kotori Koiwai,1111,N/A,winter
4606,Neskolko dney iz zhizni I.I. Oblomova,"Comedy, Drama, History",7.6,"St. Petersburg, mid 19th century: the indolent, middle-aged Oblomov. He sleeps much of the day. His boyhood companion, Stoltz, now an energetic and successful businessman, adds Oblomov to his circle and introduces him to Olga.",Nikita Mikhalkov,2395,N/A,winter
4607,A nagy füzet,"Drama, War",7.0,Twin siblings enduring the harshness of WWII in a village on the Hungarian border hedge their survival on studying and learning from the evil surrounding them.,János Szász,3182,$0.07M,winter
4608,Kasaba,Drama,7.0,The story of a family living in a small godforsaken town in Turkey seen through the eyes of children and dealing with the growing complexity when one becomes an adult.,Nuri Bilge Ceylan,6129,N/A,winter
4609,Kar ve Ayi,Drama,6.8,"A young nurse begins a new assignment at a wintry, remote village when a man goes missing.",Selcen Ergun,1535,N/A,winter
4610,Hamilton,"Action, Adventure, Crime",5.9,"A nuclear armed SS20 will be smuggled from Russia via Finland to Sweden unless Swedish agent Hamilton +5 stop them with ""no loose ends"". What about the other stolen SS20?",Harald Zwart,4293,N/A,winter
4611,Hako no naka no onna II,"Drama, Horror",5.3,"A lonely ski resort manager seems to have an eerily strong impact on all the ladies around him. He is not notably handsome nor even particularly pleasant person, but for some inexplicable ...                See full summary »",Masaru Konuma,113,N/A,winter
4612,Born in China,Documentary,7.1,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.",Chuan Lu,3973,$13.83M,winter
4613,Yunhui-ege,"Drama, Romance",6.9,"Yoon-Hee lives with her teenage daughter Sae-Bom. On a winter day, Yoon-Hee receives a letter from Otaru, Japan. Sae-Bom accidentally reads the letter and learns about her mother's first love, which she never spoke about before.",Dae Hyung Lim,984,N/A,winter
4614,Operation: Daybreak,"Drama, History, War",7.0,"In 1942, Britain sends a group of British-trained Czech commandos to Prague to assassinate SS-General Reinhard Heydrich, head of the Nazi security services.",Lewis Gilbert,2279,N/A,winter
4615,Call Me Mrs. Miracle,"Comedy, Drama, Family",6.8,A family-owned department store is struggling to sell toys during the holidays when a mysterious employee shows up and begins to work miracles.,Michael M. Scott,2273,N/A,winter
4616,Valkoinen peura,"Drama, Fantasy, Horror",6.9,"A newlywed woman goes to the local shaman to get some help with her love life, but instead she gets turned into a white reindeer vampire.",Erik Blomberg,2193,N/A,winter
4617,For Ellen,Drama,6.0,A struggling musician takes an overnight long-distance drive in order to fight his estranged wife for custody of their young daughter.,So Yong Kim,2237,$0.01M,winter
4618,Mountain Men,"Comedy, Drama",5.9,"Mountain Men is a comedy/drama that follows two estranged brothers, Toph and Cooper, as they journey to a remote family cabin in the mountains to evict a squatter. Buried resentment and ...                See full summary »",Cameron Labine,1729,N/A,winter
4619,I Propose We Never See Each Other Again After Tonight,Comedy,5.4,"In Winnipeg, a Filipina woman and a Mennonite man meet and fall for one another.",Sean Garrity,175,N/A,winter
4620,One Day in the Life of Ivan Denisovich,Drama,7.1,Ivan Denisovich Shukhov has been sentenced to a camp in the Soviet gulag system. He was accused of becoming a spy after being captured briefly by the Germans as a prisoner of war during ...                See full summary »,Casper Wrede,600,$0.67M,winter
4621,Les voleurs,"Crime, Drama, Romance",6.7,"The fates of four different people - a thief, a cop, a female professor of philosophy, a suicidal girl - unexpectedly collide.",André Téchiné,2209,$0.94M,winter
4622,Elcano y Magallanes. La primera vuelta al mundo,"Animation, Adventure, History",4.4,Story of one of the most incredible adventures ever happened: the first trip around the world.,Ángel Alonso,408,N/A,winter
4623,Best Laid Plans,Drama,6.3,"David Blair directs this powerful British Drama, loosely inspired by John Steinbeck's novel 'Of Mice and Men'. Set in Nottingham, the film revolves around the relationship between the ...                See full summary »",David Blair,1586,N/A,winter
4624,Inuyasha - Toki wo koeru omoi,"Animation, Action, Adventure",7.2,Menomaru(a moth monster) was brought to life by a Shikon Shard. Inuyasha's father has defeated the monster's father 500 years ago. Inuyasha will need Kagome's feelings to win.,Toshiya Shinohara,2701,N/A,winter
4625,Tuntematon sotilas,"Drama, War",7.4,This film is the second silver screen adaption of the Finnish war book by Väinö Linna with the same name as the film. The story is based on Linna's experiences as an infantry man in the ...                See full summary »,Rauni Mollberg,2927,N/A,winter
4626,Nyrkin ja hellan välissä,"Documentary, Short, Drama",5.4,Add a Plot,Marja Pensala,31,N/A,winter
4627,Saknad,"Crime, Drama, Mystery",6.3,"Police superintendent Maja Silver goes back to her old hometown in the Swedish Bible belt to see her daughter, when a terrible discovery paralyzes the small community.",Helena Bergström,1161,N/A,winter
4628,Mickey Saves Christmas,"Animation, Short, Adventure",6.0,"Mickey, Minnie and their pals attempt to celebrate the perfect Christmas at their snowy cabin; when Pluto causes Santa to lose all the presents on his sleigh, the friends travel to the North Pole on a quest to save Christmas.",David H. Brooks,354,N/A,winter
4629,8-nengoshi no hanayome,"Drama, Romance",7.0,"Twenty-somethings Hisashi and Mai are engaged. When suddenly Mai's heart stops and she falls into a coma all Hisashi can do is remain by her side, albeit without knowing whether she might ...                See full summary »",Takahisa Zeze,1029,N/A,winter
4630,The Dark Hours,"Horror, Thriller",6.0,"A beautiful but burnt out psychiatrist goes to the family's winter cottage for a weekend with her husband and sister, which is interrupted when a terrifying and unexpected guest arrives, a violent sex offender and patient of the doctor.",Paul Fox,5507,N/A,winter
4631,"Feuer, Eis & Dynamit","Action, Comedy, Sport",3.9,A tycoon's children and creditors compete for his money in an athletic contest.,Willy Bogner,1057,N/A,winter
4632,Stöld,Drama,N/A,"A young woman's struggle to defend her indigenous heritage in a world where xenophobia is on the rise, climate change is threatening reindeer herding, and young people choose suicide in the face of collective desperation.",Elle Márjá Eira,N/A,N/A,winter
4633,Giorgino,"Adventure, Drama, Horror",7.4,"October 1918: After returning to the civil life, the young Doctor Giorgio Volli searches for a group of children, which he had been the care-taker of before the first world war began. ...                See full summary »",Laurent Boutonnat,1022,N/A,winter
4634,Saheb Bibi Golaam,"Action, Crime, Drama",6.4,Three very different people from three very different worlds collide one winter afternoon in an anarchic Kolkata.,Pratim D. Gupta,683,N/A,winter
4635,Ice,"Adventure, Sci-Fi, Thriller",4.9,"After the whole North of the Equator freezes below zero, a group of people in Los Angeles risk their lives while trying to ""escape"" from the city's hostile conditions, in order to take a ship to a hotter place on Earth.",Jean de Segonzac,1216,N/A,winter
4636,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Action, Adventure, Family",7.0,"Four children get trapped in an unearthed land called Narnia,in order to go back home, they must face dark forces and beasts.",Jon Burton,478,N/A,winter
4637,Lone Wolf,"Horror, Music, Mystery",4.3,"A struggling rock band and other college students cope with the usual trials and tribulations of their young lives, such as determining what exactly is behind the recent full-moon killings which have been attributed to wild dogs.",John Callas,368,N/A,winter
4638,Takaisin pintaan,Documentary,7.0,"After a terrible accident deep inside an underwater cave, the survivors are forced to risk their own lives to bring the bodies of their friends home.",Juan Reina,1225,N/A,winter
4639,The Russian Bride,"Horror, Thriller",5.2,"A Russian woman meets an older man on a dating site. She travels to America with her daughter to marry the man, who is a reclusive billionaire. He turns out to be a psycho, who sends their lives spiraling into a living hell. Will they manage to survive!",Michael S. Ojeda,4058,N/A,winter
4640,The Book of Life,"Comedy, Fantasy",6.5,"The end of the millenium has taken on a certain significance in modern day prophecies. What happens if Jesus Christ has second thoughts about the Apocalypse? It is December 31, 1999 and New...                See full summary »",Hal Hartley,1996,N/A,winter
4641,The Great War and the Shaping of the 20th Century,"Documentary, Biography, History",8.3,"A unique first-person narrative, sewn together from genuine testimonies of frontline soldiers.",Judi Dench,366,N/A,winter
4642,The Little Bear Movie,"Animation, Adventure, Family",6.6,Little Bear and Father Bear are camping when Little Bear meets a new friend named Cub.,Raymond Jafelice,327,N/A,winter
4643,Arctic Blue,"Action, Thriller",5.0,"A man from Los Angeles, California gets a job as ecologist in Alaska's wilderness. He takes part in arresting and transporting a trapper wanted for murder. But the trapper, Ben Corbett (Rutger Hauer), and his friends will do anything to free him.",Peter Masterson,1084,N/A,winter
4644,Whole New Thing,"Comedy, Drama",6.7,"After years of being home schooled by hippie parents, Emerson is enrolled at his local high school. The intelligent and androgynous youth confounds his classmates and captures the attention...                See full summary »",Amnon Buchbinder,1298,$0.01M,winter
4645,Fou d'amour,"Drama, Romance",6.7,"1959. Guilty of a double-murder, a man is beheaded. At the bottom of the basket that just welcomed it, the head of the dead man tells his story: everything was going so well. Admired priest...                See full summary »",Philippe Ramos,233,N/A,winter
4646,Watch Movie Free Online,"Action, Adventure, Comedy",7.8,The local TV director present new low budget projects for help TV channel. But these projects are very strange and crazy.,Sergey A.,156,N/A,winter
4647,Kääntöpiste,"Drama, Mystery, Thriller",6.0,The lives of three troubled people are connected by accident when they are faced with moral questions.,Simo Halinen,579,N/A,winter
4648,Geograf globus propil,"Adventure, Drama, Romance",7.3,The ordinary troubles of the ordinary teacher in the ordinary class during the ordinary midlife crisis.,Aleksandr Veledinskiy,5526,N/A,winter
4649,Broadcasting Christmas,"Comedy, Drama, Family",6.0,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,1921,N/A,winter
4650,Ash & Dust,"Crime, Thriller",3.8,Two small town couples find themselves caught up in a game of death at the hands of a vicious gang after they discover a mysterious box buried long ago.,Adrian Langley,732,N/A,winter
4651,The Long Dark,"Adventure, Drama, Mystery",7.8,"Flying a routine mail delivery in the Northern wilderness, bush pilot William Mackenzie witnesses mysterious lights flaring across the sky. Suddenly, his DeHavilland Beaver loses power and crashes into the dense mountain forest below.",Raphael van Lierop,504,N/A,winter
4652,The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family",6.5,"Prince Caspian is based off of the novel and movie of the same name, giving the player the opportunity to play as one of 20 different characters, including the four Pevensie children, Lucy, Edmund, Susan, and Peter.",Jon Burton,341,N/A,winter
4653,The Stranger Within,Thriller,5.9,A troubled young man mysteriously appears in a rural Minnesota town from which he claims he was abducted 16 years ago.,Tom Holland,390,N/A,winter
4654,Pete's Christmas,"Comedy, Drama, Family",6.0,A put-upon teen finds himself reliving the same miserable Christmas day over and over again.,Nisha Ganatra,1964,N/A,winter
4655,M - Eine Stadt sucht einen Mörder,"Crime, Thriller",5.7,"Winter in Vienna. Children disappear. For now without a trace, then their bodies are found. A gift for the tabloid press. For the police a series of defeats. Politically a problem. And at ...                See full summary »",Dominik Maringer,533,N/A,winter
4656,The Land Before Time VIII: The Big Freeze,"Animation, Adventure, Comedy",5.7,Littlefoot and his friends sing new songs while enduring a blizzard. Animated.,Charles Grosvenor,2593,N/A,winter
4657,The Frozen,"Drama, Horror, Thriller",4.3,An ill advised winter camping trip leaves a couple stranded deep in the mountains where they must survive against the forces of nature and hide from a mysterious man who hunts them.,Andrew Hyatt,1769,N/A,winter
4658,Bedelia,"Crime, Drama, Romance",6.7,"Bedelia, a newly remarried beautiful widow, is on honeymoon in Monte Carlo. A painter approaches her inquiring about her past. When she and her husband go back to England the artist will soon be there. Danger, crime and truth will follow.",Lance Comfort,385,N/A,winter
4659,Hamilton,"Action, Thriller",6.3,Swedish intelligence agent Carl Hamilton gets busy when it is discovered that a group of Soviet rebels intend to smuggle a nuclear missile through Sweden. Carl and his colleague must risk life and limb to stop the uprising.,Peter Stormare,812,N/A,winter
4660,Siblings,Comedy,6.4,"SIBLINGS is a dark comedy about love, lust, murder and other issues of normal family life.",David Weaver,677,N/A,winter
4661,Kjærlighetens kjøtere,Drama,7.3,A young writer whose proposal was recently rejected goes to Greenland to spend a year at an outpost for hunting and trapping animals for furs. At the outpost he meets two men who are none too keen to spend the winter with the newcomer.,Hans Petter Moland,2006,N/A,winter
4662,An Old Fashioned Thanksgiving,Drama,6.5,"In the late 1880's, a widowed mother of three struggles to keep her family intact and to put food on the table. The oldest daughter sends a letter to her estranged, very wealthy grandmother...                See full summary »",Graeme Campbell,724,N/A,winter
4663,Gränsen,"Action, Drama, War",6.2,"December 1942. Two young soldiers leave their post at check-point 83 in Northern Värmland, Sweden, and make their way through the ice cold winter-night towards the border of Nazi-occupied ...                See full summary »",Richard Holm,1593,N/A,winter
4664,The Night Before Christmas,"Animation, Short, Comedy",7.9,"Well, a mouse *is* stirring... And he's having fun playing with the toys, until he mistakes Tom for a stuffed toy and wakes him up.",Joseph Barbera,2214,N/A,winter
4665,Maa Tujhhe Salaam,"Action, Drama",3.6,Major Pratab Singh works in the Indian army and he and his battalion has been assigned duty near the Indo-Pakistan border. There duty mainly consists of eliminating any terrorists trying to...                See full summary »,Tinnu Verma,1247,N/A,winter
4666,All the Young Men,"Action, Drama, War",6.2,"During the Korean War, a platoon leader dies, leaving his inexperienced black Sergeant in charge of his squad of belligerent and racist white men.",Hall Bartlett,598,N/A,winter
4667,Welcome to Hard Times,"Drama, Western",5.8,A sociopathic stranger all but destroys a small hardscrabble town but the 'mayor' convinces its survivors to stay and rebuild.,Burt Kennedy,1620,N/A,winter
4668,Winter of Frozen Dreams,"Crime, Drama",4.7,Barbara Hoffman is a University of Wisconsin science student. She is a part-time employee at a local massage parlor. She is also a killer. Now all Detective Lulling has to do is prove it.,Eric Mandelbaum,873,$0.01M,winter
4669,Death Mask,"Crime, Drama",4.8,"Based on a true criminal case, Farley Granger stars as an investigator who recently lost his ten year old daughter. Just days after the death of his daughter, the investigator is given a task to solve the murder of a ten year old boy.",Richard Friedman,130,N/A,winter
4670,The Purchase Price,"Comedy, Drama",6.4,A torch singer becomes a farmer's mail-order bride.,William A. Wellman,1699,N/A,winter
4671,Kanon,"Animation, Comedy, Drama",7.5,"As a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of those days are simply gone.",Chris Patton,1586,N/A,winter
4672,Ice Men,Drama,6.2,"For the first time since taking possession of the family cabin, Vaughn has invited his best friends up for a winter weekend of hunting and drinking. But the arrival of unexpected visitors ...                See full summary »",Thom Best,500,N/A,winter
4673,La terre outragée,Drama,6.3,"Chernobyl, 1986: a few hours before the disaster, Piotr and Anya's wedding is interrupted by a fire at the power station.",Michale Boganim,892,N/A,winter
4674,History Is Made at Night,"Action, Comedy, Romance",4.5,"A romantic suspense-comedy about CIA agent Harry (Bill Pullman) and SVR agent Natasha (Irene Jacob) fighting to save the world, their lives and secret love in the post cold war Helsinki.",Ilkka Järvi-Laturi,893,N/A,winter
4675,Zhil-byl pyos,"Animation, Short, Comedy",8.4,"Two lonely souls met: a dog outcast by his owners, and a poor wolf living in the woods.",Eduard Nazarov,3898,N/A,winter
4676,Rzhev,"Drama, History, War",6.1,"In the winter of 1942/1943, a series of not-so-well known, yet bloody battles occurred near the town of Rzhev. Those battles received the name of 'Rzhev Meat Grinder'. The film is based on the award-winning novel by Vyacheslav Kondratyev.",Igor Kopylov,1109,N/A,winter
4677,Der heilige Berg,Drama,6.6,"Diotima meets Karl in the mountains where they fall in love and have an affair. When Karl's friend, Vigo, meets her, he mistakenly believes she is in love with him. Karl then believes that she is betraying him with his friend.",Arnold Fanck,869,N/A,winter
4678,Proverka na dorogakh,"Drama, War",7.9,The Russian POW joins the partisan guerrillas and proves his loyalty fighting the Nazis.,Aleksey German,2441,N/A,winter
4679,Five Aces,"Comedy, Drama",5.1,"Chris Martin is a bachelor who wants to take the plunge and marry to his long-time girlfriend. Wanting to enjoy his last few days when he is bachelor, Chris spends several nights hanging ...                See full summary »",David Michael O'Neill,673,N/A,winter
4680,Grown Up Movie Star,Drama,6.1,"The story of Ruby, 13, determined to grow up fast after her mother runs away to become a movie star, leaving Ruby with her hopelessly rural father.",Adriana Maggs,416,N/A,winter
4681,Reel,Horror,5.0,One of the sickest bloodbaths in horror movie history occurs after a deranged stalker becomes obsessed with real life horror film critic Todd Smith.,Chris Good Goodwin,146,N/A,winter
4682,Le Crabe-Tambour,"Adventure, Drama, War",7.0,"A dying mariner, full of regret, is looking for his longtime colleague somewhere on the high seas.",Pierre Schoendoerffer,875,N/A,winter
4683,Lúdas Matyi,"Animation, Adventure, Comedy",8.2,"A young peasant boy stands up to tyranny, aided by his trusting friend- a goose.",Attila Dargay,2183,N/A,winter
4684,Little Malcolm and His Struggle Against the Eunuchs,"Comedy, Drama",6.9,"An art student is thrown out of college. Depressed, he comes up with the Party of Dynamic Erection, a near-fascist ""party"" that promotes male sexual dominance, and which attracts a couple of other unsavory confused characters.",Stuart Cooper,255,N/A,winter
4685,Bergmál,Drama,7.0,"Everyday life in Iceland around Christmas time: 56 vignettes full of joy, sorrow and thought-provoking situations.",Rúnar Rúnarsson,1598,N/A,winter
4686,Ménilmontant,"Short, Drama",7.8,"A couple is brutally murdered in the working-class district of Paris. Later on, the narrative follows the lives of their two daughters, both in love with a Parisian thug and leading them to separate ways.",Dimitri Kirsanoff,2602,N/A,winter
4687,Barricade,"Horror, Mystery, Thriller",4.4,A father's quiet retreat to the woods with his two children turns into a fight for survival.,Andrew Currie,2948,N/A,winter
4688,My Little Pony: Winter Wishday,"Animation, Adventure, Comedy",7.0,"With different holiday traditions across three pony lands, the Mane 5 race against time to celebrate everyone's special customs and make it home in time for the Wishing Star.",William Lau,53,N/A,winter
4689,O Drakos,"Crime, Drama",7.9,"A peaceful, frightened little man is mistakenly identified as ""the dragon"", a notorious criminal at large. He briefly and reluctantly rules the underworld until they realize their mistake.",Nikos Koundouros,2043,N/A,winter
4690,After,"Drama, Mystery",4.8,"A story centered around the Valentinos, a struggling family whose delicate balance is threatened by a carefully concealed secret that, if revealed, will change their lives forever.",Pieter Gaspersz,208,N/A,winter
4691,Snowballing,Comedy,3.8,Teens at a ski resort need to even the score with its owner and his sheriff friend.,Charles E. Sellier Jr.,176,N/A,winter
4692,The First Snow of Winter,"Animation, Short, Adventure",7.2,"Sean is a little duck with a big problem. Due to a mishap with a jet aircraft Sean misses the annual migration South and has to face the winter alone. However, he is befriended by a water ...                See full summary »",Graham Ralph,406,N/A,winter
4693,Gagarin. Pervyy v kosmose,"Adventure, Biography, Drama",6.5,"On April 12, 1961, Soviet cosmonaut Gagarin blasted off in a Vostok rocket and he orbited Earth for 106 minutes. He was the cosmonaut who was selected from over three thousand fighter pilots throughout the Soviet Union.",Pavel Parkhomenko,3484,N/A,winter
4694,Oi kynigoi,Drama,7.5,"On New Year's Eve, a group of hunters finds the frozen body of a dead WWII partisan fighter. They spend the night debating what to do with it.",Theodoros Angelopoulos,973,N/A,winter
4695,The Mouse and His Child,"Animation, Adventure, Drama",6.8,"Adaptation of Russell Hoban's novel about two mechanical toy mice, and their quest to become ""self-winding"".",Charles Swenson,508,N/A,winter
4696,"Never Steady, Never Still",Drama,6.2,"A mother struggles to take control of her life in the face of advanced Parkinson's disease, while her son battles his sexual and emotional identity amongst the violence of Alberta's oil field work camps.",Kathleen Hepburn,445,N/A,winter
4697,Kupi menya,Drama,5.3,Katya is a girl from a wealthy family who yearns for adventure. Keeping it secret from her mother she applies to a model agency and goes to Dubai to take part in a fashion show. But instead...                See full summary »,Vadim Perelman,554,N/A,winter
4698,Black Night Parade,"Comedy, Fantasy",7.6,An unambitious young man is forced to join a dark Christmas company that delivers bad gifts to bad children.,Yûichi Fukuda,12,N/A,winter
4699,Straight Into Darkness,"Action, Drama, Horror",4.9,"When two young American GIs desert their platoon in the final days of World War II, they will find themselves struggling against all odds to stay alive.",Jeff Burr,1404,N/A,winter
4700,Rock-a-Bye Bear,"Animation, Family, Comedy",7.8,"Spike gets a job running the house for a hibernating bear. Only problem is that same bear is VERY noise-sensitive, and Spike's got a rival that wants his job.",Tex Avery,562,N/A,winter
4701,Did I Do That to the Holidays? A Steve Urkel Story,"Animation, Adventure, Comedy",N/A,"Steve Urkel, after an unfortunate accident where he ridicules the mall Santa, creates an invention hoping to fix the Holiday spirit with the help of real Santa.",Jojo Ramos Patrick,N/A,N/A,winter
4702,Winter Kill,"Mystery, Thriller",6.9,A sniper is killing residents at a winter resort. Who will die next? And why?,Jud Taylor,313,N/A,winter
4703,Horton Hatches the Egg,"Animation, Short, Comedy",7.3,"Horton the elephant agrees to watch over lazy Maisie bird's egg while she vacations. Much later, after standing (and sitting) guard 100-percent faith-fully through rain and snow, Horton and...                See full summary »",Robert Clampett,632,N/A,winter
4704,I lossens time,"Crime, Drama",6.1,"Helen, who is a priest, is approached by scientist Lisbeth with a desperate plea for help. A young man, who has been sent to a high security psychiatric ward after having killed an old ...                See full summary »",Søren Kragh-Jacobsen,1526,N/A,winter
4705,Berg-Ejvind och hans hustru,Drama,7.2,A stranger comes to work at widow Halla's farm.,Victor Sjöström,1993,N/A,winter
4706,One Day in December,"Drama, Romance",N/A,Plot under wraps.,Lucy Boynton,N/A,N/A,winter
4707,L'assassinat du Père Noël,"Comedy, Drama, Mystery",7.3,"The story concerns an old globe-maker who is mysteriously killed while going through the town portraying Pere Noel (""Father Christmas"" aka Santa Claus).",Christian-Jaque,645,N/A,winter
4708,The Cosmonaut,"Drama, Romance, Sci-Fi",4.0,"Stas, the cosmonaut, gets lost in space. When he comes back he finds Earth completely empty of human life. Yulia and Andrei wait for him on the other side of a collapsing world. How far would you go for love?",Nicolás Alcalá,822,N/A,winter
4709,Outrageous!,"Comedy, Drama",6.9,A story about a female impersonator who rooms with a pregnant schizophrenic.,Richard Benner,1001,N/A,winter
4710,A Christmas Tree Grows in Colorado,"Drama, Family",5.6,Erin is planning the town's Christmas celebration and must win over Kevin in order to get his spruce tree for the celebration.,Jason Bourque,777,N/A,winter
4711,The Retreat,Horror,3.0,"Set in the deep freeze of a northern Michigan winter, when a group of college students volunteer to assist their psychology professor with his research, their weekend retreat turns into a nightmare.",Matt Cantu,984,N/A,winter
4712,Kochegar,"Crime, Drama",6.6,"The film, set in the mid 1990s outside of St. Petersburg, tells the story of an ethnic Yakut, Major Skryabin, a shell-shocked veteran of the Afghan-Soviet War, who works as a stoker.",Aleksey Balabanov,2538,N/A,winter
4713,Come Morning,"Drama, Thriller",5.2,"Set in rural Arkansas in 1973, Come Morning is the tragic story of Frank and his 10-year-old grandson and the hunting accident that forever changes their lives.",Derrick Sims,409,N/A,winter
4714,Cold Comfort,"Drama, Thriller",6.1,Three lonely people depend on each other when they get stranded at a deserted gas station in a blizzard. Floyd is a truck driver balancing on the edge of lunacy. He is the caring father of ...                See full summary »,Vic Sarin,382,N/A,winter
4715,La Florida,Comedy,5.8,"Tired of rough winters, a Quebec family buys a motel in south Florida. But life is not easy down where motels grow faster than grass. Two bigger businessmen are out to get them for invading...                See full summary »",George Mihalka,505,$1.60M,winter
4716,Armoton maa,"Crime, Drama",5.5,"In this arctic western on the Finnish-Norwegian border, an illegitimate son of a retiring police officer is released from prison and is terrorizing the area. It soon spirals out of control and turns violent, forcing him to face his past.",Jussi Hiltunen,775,N/A,winter
4717,Baksmälla,"Comedy, Drama, Romance",3.9,About a Saturday in Lasse and Lena's life.,Hans Dittmer,175,N/A,winter
4718,The Moon Is Down,"Drama, War",7.0,"During the Nazi occupation of Norway, a small Norwegian village struggles to cope with the invaders and some locals choose collaboration while others prefer armed resistance.",Irving Pichel,471,N/A,winter
4719,Schlafes Bruder,"Drama, Music, Romance",7.0,"In the beginning of the 19th century, Johannes Elias Alder is born in a small village in the Austrian mountains. While growing up he is considered strange by the other villagers and ...                See full summary »",Joseph Vilsmaier,1645,N/A,winter
4720,Le crime est notre affaire,"Comedy, Crime, Mystery",6.0,"Prudence Beresford is investigating another murder. Her aunt had witnessed it, but no body was found, and nobody trusted her word. Nobody, except Prudence, of course!",Pascal Thomas,1148,N/A,winter
4721,Knyaz Vladimir. Film pervyy,"Animation, Action, Drama",6.8,The film is about those times and events as a result of which the semi-military alliance of the heathen Slavic breeds have become Rus from the Baltic to the Black Sea. This transformation ...                See full summary »,Yuriy Batanin,869,N/A,winter
4722,Risttuules,"Drama, History",7.5,"""Risttuules"" is a very emotional, tragic movie about mass deportation to Siberia based on the memories of Erna. It all started on June 14, 1941, when trucks came for the innocent families ...                See full summary »",Martti Helde,1644,N/A,winter
4723,Beim Jodeln juckt die Lederhose,Comedy,4.3,"What happens when a bus with mostly female passengers strands in a small Bavarian village? Funny stuff, that's what! There are the ski instructors who only want to be seduced and dragged ...                See full summary »",Alois Brummer,162,N/A,winter
4724,Ferma Vedetelor,Reality-TV,6.3,"13 spoiled celebrities are put to live at the farm in the conditions like 100 years ago. No electricity, no comfort, limited amount of food. Will they show their true faces?",Florin Rata,26,N/A,winter
4725,Ambivalentnost,Drama,5.9,"Stas and Peter, two young psychiatry students and friends perceive life differently. Stas desires to act by the rules, Peter prefers experimenting. Stas is a hard worker while Peter likes ...                See full summary »",Anton Bilzho,204,N/A,winter
4726,Winter Meeting,"Drama, Romance",6.2,Bette Davis is a successful poetess who falls in love with a war hero in this romantic melodrama that is a moving film experience any time of year.,Bretaigne Windust,1480,N/A,winter
4727,Capitaine Conan,"Drama, War",7.2,The war exploits of French captain Conan and his men during World War I and during the Allied intervention in the Russian Civil War.,Bertrand Tavernier,2366,N/A,winter
4728,Rasputin,"Biography, Drama, History",4.6,The true story of the greatest occultist of 1900. The truth beyond the Legend.,Louis Nero,136,N/A,winter
4729,A Place in Hell,"Horror, Thriller",3.0,Inspired by a real serial killer: A disgraced detective on the trail of a serial killer and a group of student filmmakers cross paths at a Halloween fright farm in the dead of winter.,David Boorboor,304,N/A,winter
4730,Kotyonok po imeni Gav,"Animation, Short",7.7,Adventures of a cute Siamese kitten whose name happens to be Woof.,Tamara Reshetnikova,1816,N/A,winter
4731,Lynx,Documentary,7.5,"In the Jura mountains, the silhouette of a boreal lynx slips through the beech and fir trees. He calls his female. This is the beginning of the story of a lynx family.",Laurent Geslin,133,N/A,winter
4732,Jäniksen vuosi,"Comedy, Drama",7.5,"Young advertising executive Vatanen suddenly quits his job and his whole life in Helsinki, and decides to spend a while in the Finnish wilderness. A wounded hare hit by a car becomes his ...                See full summary »",Risto Jarva,1362,N/A,winter
4733,The Barber,"Crime, Horror, Mystery",5.7,"Town barber Dexter Miles is surprised to overhear, while cutting the hair of police chief Vance Corgan, that the body of a woman he murdered a few days before has been recovered. He had hope that the body would not be found until spring.",Micheal Bafaro,1315,N/A,winter
4734,Lady Cocoa,"Crime, Drama",4.7,Foxy Lady Cocoa is out to take down her mobster boyfriend.,Matt Cimber,362,N/A,winter
4735,"Hunde, wollt ihr ewig leben","Drama, War",7.2,"In the winter of 1943, against the background of battle scenes, a young German Lieutenant who increasingly distrusts the inhuman Nazi ideology struggles with the concept of war.",Frank Wisbar,798,N/A,winter
4736,Tots TV,"Adventure, Family, Fantasy",6.7,"Three rag doll puppets live together in a countryside cottage: Tilly, a French girl, with red hair, who speaks in basic French; Tom, a blue haired boy with glasses; and Tiny, the green-haired youngest Tot.",Robin Stevens,266,N/A,winter
